Country,Year,Male,Both sexes,Female
Czechia,2000,71.53,74.95,78.29
Mexico,2000,71.68,74.41,77.12
Ecuador,2000,71.91,74.53,77.27
Tunisia,2000,71.94,74.12,76.49
Turkey,2000,71.94,74.41,76.85
Antigua and Barbuda,2000,72,74.56,76.95
Jamaica,2000,72.05,74.22,76.5
Barbados,2000,72.13,74.5,76.72
Slovenia,2000,72.18,76.05,79.74
United Arab Emirates,2000,72.2,73.18,75.06
Jordan,2000,73.06,72.65,72.48
Republic of Korea,2000,72.49,76.21,79.76
Paraguay,2000,72.57,74.8,77.14
Bosnia and Herzegovina,2000,72.6,75.42,78.03
Libya,2000,72.7,74.4,76.28
Peru,2000,72.86,74.42,75.94
Lebanon,2000,73.03,74.61,76.14
Portugal,2000,73.07,76.58,80.07
Chile,2000,73.64,76.77,79.77
Ireland,2000,73.84,76.41,79.02
United States of America,2000,74.12,76.69,79.17
Finland,2000,74.13,77.6,80.91
Belgium,2000,74.54,77.66,80.74
Cuba,2000,74.59,76.76,79.04
Panama,2000,74.6,77.23,80.08
Denmark,2000,74.66,76.93,79.13
Germany,2000,75.04,78.09,80.92
Austria,2000,75.09,78.17,80.98
Luxembourg,2000,75.15,78.24,81.11
France,2000,75.24,78.91,82.52
Costa Rica,2000,75.47,78,80.63
Netherlands,2000,75.49,78.01,80.39
United Kingdom of Great Britain and Northern Ireland,2000,75.49,77.85,80.09
Greece,2000,75.51,78.17,80.89
Malta,2000,75.53,77.87,80.1
Spain,2000,75.69,79.08,82.48
Norway,2000,75.86,78.53,81.15
New Zealand,2000,76,78.57,81.06
Singapore,2000,76.2,78.44,80.71
Israel,2000,76.36,78.57,80.66
Kuwait,2000,76.36,77.86,80.1
Italy,2000,76.41,79.36,82.15
Cyprus,2000,76.53,78.75,80.99
Canada,2000,76.54,79.1,81.55
Switzerland,2000,76.89,79.72,82.35
Australia,2000,77.13,79.69,82.24
Sweden,2000,77.28,79.57,81.79
Japan,2000,77.69,81.12,84.37
Iceland,2000,77.74,79.7,81.64
